Specie,COI NCBI,BOLD (COI),SILVA (18S),18s NCBI ,28s NCBI
Trachytedania biraphidora,0,0,0,0,0
Tedania sp. ,0,0,1,1,1
Desmacella aff. pumilio,0,0,1,1,0
Desmacella annexa ,0,0,0,1,1
Desmacella sp. ,0,0,0,0,0
Hamacantha (Hamacantha) microxifera ,0,0,0,0,0
Hamacantha sp. 2 ,0,0,0,0,0
Hamacantha sp. 3,0,0,0,0,0
Rhabderemia besnardi ,0,0,0,0,0
Rhabderemia uruguaiensis ,0,0,0,0,0
Aplysina caissara ,0,0,0,1,0
Aplysina fulva ,1,1,1,1,1
Aplysina sp. ,1,1,1,1,1
Hyalonema sp. ,1,1,1,1,1
